"Investment","Quantity","Price","Value (£)","Cost (£)","Change (£)","Change (%)","Price +/- today (%)","Valuation currency","Market currency","Exchange rate","Date","Time"
"Ashtead Group PLC (LSE:AHT)","168","60.58","10,177.44","10,049.27","128.17","1.28","-0.85","GBP","GBP","1","07-Jan-22","17:54"
"BHP Group PLC (LSE:BHP)","274","23.055","6,317.07","6,018.41","298.66","4.96","2.69","GBP","GBP","1","07-Jan-22","17:54"
"BP PLC (LSE:BP.)","1,476","3.6255","5,351.24","4,899.20","452.04","9.23","2.10","GBP","GBP","1","07-Jan-22","17:54"
"Ferguson PLC (LSE:FERG)","30","128.4","3,852.00","3,962.28","-110.28","-2.78","-0.96","GBP","GBP","1","07-Jan-22","17:54"
"Hoist Finance AB (XSTO:HOFI)","37","31.5","94.19","97.89","-3.70","-3.78","0.00","SEK","GBP","12.3739","07-Jan-22","17:54"
"Royal Mail PLC (LSE:RMG)","912","5.188","4,731.46","4,288.83","442.63","10.32","-0.65","GBP","GBP","1","07-Jan-22","17:54"
"SThree PLC (LSE:STEM)","1,079","4.31","4,650.49","5,025.67","-375.18","-7.47","-5.59","GBP","GBP","1","07-Jan-22","17:54"
"BP PLC (LSE:BP.)","6","3.6255","21.75","20.94","0.81","3.87","2.10","GBP","GBP","1","07-Jan-22","17:54"
"Deutsche Post AG (XETRA:DPW)","4","56.1","187.37","193.87","-6.50","-3.35","0.00","EUR","GBP","1.1975","07-Jan-22","17:54"
"Ferguson PLC (LSE:FERG)","1","128.4","128.40","114.80","13.60","11.85","-0.96","GBP","GBP","1","07-Jan-22","17:54"
"Mondi PLC (LSE:MNDI)","440","18.89","8,311.60","8,043.52","268.08","3.33","1.86","GBP","GBP","1","07-Jan-22","17:54"
"Smurfit Kappa Group PLC (LSE:SKG)","271","41.39","11,216.69","10,553.51","663.18","6.28","-0.02","GBP","GBP","1","07-Jan-22","17:54"
"SThree PLC (LSE:STEM)","2,239","4.31","9,650.09","10,797.71","-1,147.62","-10.63","-5.59","GBP","GBP","1","07-Jan-22","17:54"
"Telefonica Deutschland Holding AG (XETRA:O2D)","19","2.458","39.00","40.84","-1.84","-4.51","0.00","EUR","GBP","1.1975","07-Jan-22","17:54"
"Tesco PLC (LSE:TSCO)","1,759","2.8905","5,084.39","5,027.79","56.60","1.13","-1.11","GBP","GBP","1","07-Jan-22","17:54"
"Cash GBP","90.52","1","90.52","90.52","0","0","0","GBP","GBP","1","07-Jan-22","17:54"
"Air Liquide SA (EURONEXT:AI)","1","157","131.10","130.53","0.57","0.44","0.00","EUR","GBP","1.1976","07-Jan-22","17:54"
"Ashtead Group PLC (LSE:AHT)","5","60.58","302.90","305.19","-2.29","-0.75","-0.85","GBP","GBP","1","07-Jan-22","17:54"
"BAE Systems PLC (LSE:BA.)","96","5.586","536.26","569.18","-32.92","-5.78","1.60","GBP","GBP","1","07-Jan-22","17:54"
"BHP Group PLC (LSE:BHP)","195","23.055","4,495.73","4,199.33","296.40","7.06","2.69","GBP","GBP","1","07-Jan-22","17:54"
"Centamin PLC (LSE:CEY)","6,740","0.8966","6,043.08","6,196.62","-153.54","-2.48","3.29","GBP","GBP","1","07-Jan-22","17:54"
"Deutsche Post AG (XETRA:DPW)","1","56.1","46.84","48.00","-1.16","-2.42","0.00","EUR","GBP","1.1976","07-Jan-22","17:54"
"Drax Group PLC (LSE:DRX)","2,436","5.965","14,530.74","13,514.57","1,016.17","7.52","0.68","GBP","GBP","1","07-Jan-22","17:54"
"Essilorluxottica (EURONEXT:EL)","3","182.74","457.77","481.95","-24.18","-5.02","0.00","EUR","GBP","1.1976","07-Jan-22","17:54"
"Ferguson PLC (LSE:FERG)","64","128.4","8,217.60","7,956.95","260.65","3.28","-0.96","GBP","GBP","1","07-Jan-22","17:54"
"Mondi PLC (LSE:MNDI)","4","18.89","75.56","72.63","2.93","4.03","1.86","GBP","GBP","1","07-Jan-22","17:54","SIPP"
"Royal Mail PLC (LSE:RMG)","1,593","5.188","8,264.48","8,038.32","226.16","2.81","-0.65","GBP","GBP","1","07-Jan-22","17:54"
"Smurfit Kappa Group PLC (LSE:SKG)","5","41.39","206.95","197.22","9.73","4.93","-0.02","GBP","GBP","1","07-Jan-22","17:54"
"Telefonica Deutschland Holding AG (XETRA:O2D)","26","2.458","53.36","55.21","-1.85","-3.35","0.00","EUR","GBP","1.1976","07-Jan-22","17:54"
"Tesco PLC (LSE:TSCO)","1,730","2.8905","5,000.57","4,944.18","56.39","1.14","-1.11","GBP","GBP","1","07-Jan-22","17:54"
"Cash GBP","34.18","1","34.18","34.18","0","0","0","GBP","GBP","1","07-Jan-22","17:54"
